,name,like,review,reply,min_del_price,menu_int,menu1,menu2,menu3,mean_price,info_int,runtime_wk(분),order,addr,rev_int,total_int,rate,event,location
467,민들레 순대국,300,145,148,8000,0,8000,10000,8000,8667,0,5460,2000,용산구 이태원동 21-7,0,0,4.8,0,한남역
468,꿀밤,237,172,138,11000,7,12000,13000,12000,12333,11,5390,1000,용산구 이태원동 126-16,8,26,4.9,1,한남역
469,밥사랑,937,1298,0,10000,14,7000,700,8000,5233,14,4140,9000,용산구 한남동 758-32,11,39,4.9,1,한남역
470,김가네 옥수점,174,210,21,13000,11,4200,7000,8000,6400,11,3600,2000,성동구 옥수동 561,10,32,4.8,1,한남역
471,정성달아 김밥천국,305,159,68,5000,15,8000,8000,8500,8167,33,8890,5000,용산구 한남동 657-159,0,48,3.9,1,한남역
472,연안식당 옥수점,483,148,113,20000,7,12000,10000,19000,13667,10,4410,2000,성동구 옥수동 285-73,0,17,4.8,0,한남역
473,골목식당,515,259,155,12000,9,10000,6000,7000,7667,19,3600,4000,용산구 보광동 71-10,23,51,4.7,1,한남역
474,부자식당,349,149,87,8000,16,9000,9000,10000,9333,38,3420,1000,용산구 한남동 642-1,12,66,4.8,1,한남역
475,1인용 부대찌개 신세계상회 한남점,168,118,118,9000,14,14500,15500,16500,15500,14,6160,900,용산구 한남동 636-7,27,55,4.7,1,한남역
476,김가네 한남점,57,136,102,10000,6,7000,6500,7500,7000,10,4140,2000,용산구 한남동 79-3,4,20,4.5,0,한남역
477,콩빠두,124,33,33,16000,0,9000,9000,10000,9333,0,4200,600,성동구 옥수동 365-15,0,0,4.6,0,한남역
478,통큰칼국수,224,77,1,12000,0,4000,7000,8000,6333,5,3180,1000,용산구 보광동 70-19,4,9,4.4,0,한남역
479,일품연희냉면 이태원점,226,209,109,7000,16,7000,7000,5000,6333,23,4620,1000,용산구 보광동 238-9,18,57,4.8,0,한남역
480,본죽&비빔밥cafe 한남순천향병원점,74,49,0,8000,4,11000,9000,9000,9667,4,3600,1000,용산구 한남동 657-106,0,8,4.4,0,한남역
481,쫄면주는 삼겹본능 이태원점,247,134,157,15000,13,14000,19500,20500,18000,13,5320,1000,용산구 이태원동 123-32,13,39,4.7,1,한남역
482,한식 요리 배달 정찬,130,73,71,11000,14,28000,10000,5000,14333,26,5040,400,용산구 보광동 224-6,12,52,4.7,1,한남역
483,the낙지,1992,1405,1347,5000,19,8500,11000,47000,22167,39,4950,6000,은평구 역촌동 2-136,43,101,4.9,1,연신내역
484,직화구이 삼겹배달 은평점,890,865,863,9000,12,9000,23000,13500,15167,25,4140,3000,은평구 대조동 187-60,12,49,4.9,1,연신내역
485,어촌시래기,3096,913,932,5000,14,10900,8900,10900,10233,29,5040,5000,은평구 역촌동 45-21,24,67,4.9,1,연신내역
486,명동칼국수,661,869,864,10000,12,7500,9000,10000,8833,15,5520,3000,은평구 대조동 3-81,7,34,4.9,1,연신내역
487,양평 진둑배기 해장국,839,451,453,15000,13,12000,13000,9000,11333,32,7280,4000,은평구 갈현동 394-18,11,56,4.8,1,연신내역
488,얼음골칡냉면,1697,3479,3550,14000,7,7000,7000,8000,7333,7,4900,12000,은평구 역촌동 25-11,21,35,4.9,1,연신내역
489,밥먹고,457,578,581,8000,8,16500,17500,8000,14000,10,4410,2000,은평구 구산동 26-39,4,22,4.9,1,연신내역
490,고기왕창자이언트비빔밥 은평불광점,340,362,362,8000,12,13900,8900,8900,10567,22,4970,3000,은평구 대조동 15-87,11,45,4.8,1,연신내역
491,one밥,251,252,251,6900,11,9900,8900,13900,10900,20,3750,1000,은평구 역촌동 70-16,5,36,4.8,1,연신내역
492,24시 넷길이콩나물국밥,959,831,897,10000,7,9000,7500,9000,8500,16,8880,6000,은평구 대조동 38-12,7,30,4.9,1,연신내역
493,홍대 낙곱새미장원 연신내점,371,202,206,12000,7,30000,30000,27000,29000,16,4620,1000,은평구 대조동 202-15,25,48,4.8,0,연신내역
494,육식당 배달하는고기집,995,579,778,10000,17,32500,32500,30000,31667,25,4610,2000,은평구 역촌동 20-42,25,67,4.9,1,연신내역
495,1인한식당 은평점,327,418,345,5000,10,8000,10000,8000,8667,15,5190,2000,은평구 갈현동 454-10,23,48,4.8,1,연신내역
496,배달우삼겹 우된장 은평점,659,485,491,10000,15,19700,33250,21450,24800,25,4690,3000,은평구 역촌동 22-2,15,55,4.9,1,연신내역
497,엄마네식당,1871,1333,1143,8000,7,7000,7750,6000,6917,16,3240,6000,은평구 불광동 269,4,27,4.9,1,연신내역
498,배달의쌀국수 연신내점,2337,417,390,10000,8,7500,8500,7500,7833,26,5460,2000,은평구 역촌동 10-96,22,56,4.9,1,연신내역
499,먹보갈비,585,379,375,17000,14,24500,24500,19000,22667,30,3720,1000,은평구 역촌동 19-53,16,60,4.9,1,연신내역
500,강순자옛맛김치찌개,241,332,329,10000,14,17500,27000,3000,15833,20,6160,3000,은평구 진관동 100-6,0,34,4.9,0,연신내역
501,우리동네오면&떡볶이&냉면,1364,808,811,7000,12,7500,7500,9000,8000,29,5880,4000,은평구 갈현동 507-33,38,79,4.9,1,연신내역
502,1인용 이태원 부대찌개,533,419,443,3000,4,14500,15500,16500,15500,18,6440,3000,은평구 불광동 367-2,42,64,4.8,1,연신내역
